"organization","project_id","location","latitude","longitude","date_time","task_duration","species","count","hour"
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-06-28 04:54:00,"180s","AMRO",2,4
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-06-28 04:54:00,"180s","DEJU",1,4
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-06-28 04:54:00,"180s","SWTH",4,4
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-06-28 04:54:00,"180s","VATH",1,4
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","AMRO",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","CHSP",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","DEJU",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","GCKI",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","SWTH",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","VATH",2,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-01 21:07:00,"180s","YRWA",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-02 22:06:00,"180s","AMRO",1,22
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-02 22:06:00,"180s","SWTH",2,22
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-02 22:06:00,"180s","VATH",1,22
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","BLPW",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","DEJU",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","OCWA",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","PISI",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","RBNU",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 07:58:00,"180s","SWTH",1,7
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 21:06:00,"180s","DEJU",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 21:06:00,"180s","PISI",1,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 21:06:00,"180s","SWTH",2,21
"BU",1109,"ELE-1-1",53.23749,-117.780083,2022-07-03 21:06:00,"180s","YRWA",1,21
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","CAJA",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","DEJU",3,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","OVEN",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","SWTH",2,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","TEWA",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","TOWA",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","VATH",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","WTSP",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","WWCR",2,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-27 05:54:00,"180s","YRWA",1,5
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","AMRO",1,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","DEJU",1,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","RUGR",1,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","SWTH",2,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","DEJU",1,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","RUGR",1,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","SWTH",3,22
"BU",1109,"ELE-1-2",53.235807,-117.76999,2022-06-29 22:07:00,"180s","CHSP",1,22
